Date,Tweet by,Text Content,Reply Count,Like Count,Tweet URL,Profile User Name,Profile Descriptrion,Location,People,Organization,Resources Needed,Emergency Terms
Sat Jun 28 07:53:20 +0000 2025,DZRH NEWS,"JUST IN: Dike o river wall sa Celest St., Brgy. San jose, Navotas City, nasira; rescue operations kasalukuyang isinasagawa matapos umabot sa bubungan ng bahay ang baha | DZRH News (📸: Navotas PIO, Navoteño Emergency Team/Facebook) https://t.co/xF7h5J9Cv8",0,1,https://x.com/dzrhnews/status/1938868301209469391,dzrhnews,"The official X account of MBC Media Group's flagship radio station DZRH 666 kHz: Una sa Pilipinas, Una sa Pilipino","Celest St., Brgy. San Jose, Navotas City",,"DZRH News, Navotas PIO, Navoteno Emergency Team",,"nasira, rescue operations, baha"
Fri May 30 11:31:48 +0000 2025,TV Patrol,"Madalas lubog sa baha ang ilang barangay sa Masantol, Pampanga dahil catch basin ito ng tubig. Bunsod nito, nagsagawa ng training ang ABS-CBN Foundation Sagip Kapamilya para sa mga first responder ng bayan. https://t.co/wnRKoj976w",0,5,https://x.com/TVPatrol/status/1928414035596410921,TVPatrol,"Patrol ng Pilipino, naglilingkod saan man sa mundo.","Masantol, Pampanga",,"ABS-CBN Foundation, Sagip Kapamilya",,"baha, "
Sat Jun 07 03:37:17 +0000 2025,Pilipinas Today,"Lubog sa baha ang ilang lugar sa San Jose del Monte, Bulacan ngayong Sabado, Hunyo 7, dahil sa malakas na pag-ulan.

Ayon sa isang netizen, umabot na hanggang leeg ang baha sa kanilang lugar.

COURTESY: Julie Ann Galacgac

#PilipinasToday
#SanJoseBulacan https://t.co/cKX7792XwB",0,0,https://x.com/PilipinasToday_/status/1931193720189419984,PilipinasToday_,Anong Ganap?,"San Jose del Monte, Bulacan",Julie Ann Galacgac,,,"baha, malakas na pag-ulan"
Mon May 26 00:53:37 +0000 2025,IBC TV 13,"Nananatiling lubog sa baha ang karamihan sa mga bahay sa Bayan ng Datu Piang, Maguindanao del Sur bunsod ng umiiral na Intertropical Convergence Zone (ITCZ). 

[1/2] https://t.co/HJ8fNMKMWR",1,0,https://x.com/ibcdigital13/status/1926803876713243104,ibcdigital13,The official account of Intercontinental Broadcasting Corporation.,"Datu Piang, Maguindanao del Sur",,,,"baha, Intertropical Convergence Zone (ITCZ)"
Wed Jun 11 07:47:22 +0000 2025,Sipol🎯King™,"CDO lubog sa baha.
Dapat FLOOD CONTROL Projects ni BANGAG ang tinatalakay ng Kongreso at mga kurakot dyan na puro Ayuda alam. Pweh https://t.co/xH2Zv7816A",0,1,https://x.com/tripwire_analog/status/1932706208827441425,tripwire_analog,"I post & comment just hoping to do a little bid against those who destroy peace, order & progress in this country. 👊🇵🇭",CDO (Cagayan de Oro),BANGAG,Kongreso,"Ayuda, Flood Control Projects",baha
Tue Jul 01 17:39:04 +0000 2025,Lindol Live,"Lumindol ng 4.2 magnitude sa 149 km S 22° E ng Sarangani, Davao Del Sur (4.17 ºN, 125.94 ºE) ngayong July 02, 2025 01:22 AM.

View map: https://t.co/W2th17L1vz

#EarthquakePH #LindolPH",0,0,https://x.com/lindol_live/status/1940102869103124588,lindol_live,Lumindol ba?  🟡 Follow and activate notifications to get notified if there is an earthquake higher than 4.0 magnitude 🟡 Stay safe always!,"Sarangani, Davao Del Sur",,,,"lindol, 4.2 magnitude, earthquake"
Tue Jul 01 17:31:05 +0000 2025,Lindol Live,"Lumindol kanina ng around 9:30 AM dito sa amin sa Tago, Surigao del Sur. Sabi sa update, 3.6 magnitude daw, mga 4 km south-west ng town proper (9.0 ºN, 126.2 ºE). Ramdam siya lalo na sa mga nasa taas ng bahay.

May mga people dito na natakot  yung mga bata umiiyak, pati matatanda nataranta kasi walang warning. Wala pa naman nakikitang damage pero sana may dumaan para mag-check, lalo na sa luma na bahay.

So far, wala pang relief or inspection na dumating. Di man malakas, pero sana matawag pa rin itong emergency para ma-monitor kung may aftershock.

Kung maririnig man to ng PHIVOLCS, LGU, o kahit anong organization, baka pwedeng macheck yung area namin para sa safety ng lahat.

View map: https://t.co/gvIAFMvTyF ",0,0,https://x.com/lindol_live/status/1940100862812254220,lindol_live,Lumindol ba?  🟡 Follow and activate notifications to get notified if there is an earthquake higher than 4.0 magnitude 🟡 Stay safe always!,"Tago, Surigao del Sur","mga bata, matatanda","PHIVOLCS, LGU","relief, inspection","lindol, 3.6 magnitude, aftershock, walang warning, emergency"
Tue Jul 01 17:31:04 +0000 2025,Lindol Live,"Lumindol ng 3.4 magnitude sa 10 km S 89° E ng Burgos, Surigao Del Norte (10.02 ºN, 126.16 ºE) ngayong July 01, 2025 11:34 PM.

View map: https://t.co/tehIwQYqaj

#EarthquakePH #LindolPH",0,0,https://x.com/lindol_live/status/1940100858261512691,lindol_live,Lumindol ba?  🟡 Follow and activate notifications to get notified if there is an earthquake higher than 4.0 magnitude 🟡 Stay safe always!,"Burgos, Surigao del Norte",,,,"lindol, 3.4 magnitude, earthquake"
Tue Jul 01 16:15:04 +0000 2025,Lindol Live,"Lumindol ng 3.3 magnitude sa 25 km S 75° W ng Lubang, Occidental Mindoro (13.8 ºN, 119.89 ºE) ngayong July 01, 2025 11:58 PM.

View map: https://t.co/d21xCr494v

#EarthquakePH #LindolPH",0,0,https://x.com/lindol_live/status/1940081730251301062,lindol_live,Lumindol ba?  🟡 Follow and activate notifications to get notified if there is an earthquake higher than 4.0 magnitude 🟡 Stay safe always!,"Lubang, Occidental Mindoro",,,,"lindol, 3.3 magnitude, earthquake"
Thu Sep 05 08:43:11 +0000 2024,Glamritz GR,"Patuloy na bumubuhos ang malakas na ulan sa ilang bahagi ng Luzon dulot ng pinalakas na habagat, na nagpapalala sa kalagayan ng pagbaha at pagguho ng lupa.
https://t.co/9q2Abxdcik
#gr888 #UlanNaNaman #bagyo #enteng #typhoon #storm #luzon https://t.co/DJsZ9n1IVw",0,0,https://x.com/GRGlamritz/status/1831614041481208299,GRGlamritz,"Join GR GLAMRITZ in a world of Filipino fashion, shopping, novelty, 3C, travel, fun, and lifestyle!",Luzon,,,,"malakas na ulan, habagat, pagbaha, pagguho ng lupa, bagyo, typhoon, storm"
